Tempo,Empuxo,Pressao
17983,-18.000000,0.000000
18008,19.519482,0.000000
18032,7.012987,0.000000
18057,-47.337666,0.000000
18081,-41.844158,0.000000
18106,-40.441559,0.000000
18130,-25.714287,0.000000
18155,-4.792208,0.000000
18182,38.571430,0.000000
18209,62.415588,0.000000
18236,-3.506494,0.000000
18261,11.454546,0.000000
18285,25.480520,0.000000
18310,31.558443,0.000000
18334,-19.636364,0.000000
18358,-7.714286,0.000000
18383,39.857143,0.000000
18407,17.532469,0.000000
18431,-18.000000,0.000000
18456,5.025974,0.000000
18480,11.805195,0.000000
18504,-16.363638,0.000000
18529,-13.909091,0.000000
18553,-9.116883,0.000000
18577,-31.207794,0.000000
18602,-25.363638,0.000000
18626,-10.636364,0.000000
18650,10.753247,0.000000
18675,-51.545456,0.000000
18699,-26.415585,0.000000
18723,-20.688313,0.000000
18750,-5.142858,0.000000
18774,27.000002,0.000000
18798,21.506495,0.000000
18823,35.883118,0.000000
18847,-0.233766,0.000000
18872,-18.233767,0.000000
18896,-40.207794,0.000000
18920,-97.246758,0.000000
18949,-155.571442,0.000000
18974,-136.285721,0.000000
18998,-130.207794,0.000000
19023,-134.064941,0.000000
19047,-128.922089,0.000000
19071,-185.142868,0.000000
19096,-217.051956,0.000000
19120,-290.922089,0.000000
19144,-273.740265,0.000000
19169,-314.766235,0.000000
19193,-353.103912,0.000000
19219,-391.090912,0.000000
19244,-464.610413,0.000000
19268,-546.194824,0.000000
19293,-488.337677,0.000000
19317,-433.168854,0.000000
19342,-419.610413,0.000000
19366,-308.571442,0.000000
19391,-351.701324,0.000000
19415,-344.805206,0.000000
19440,-335.922089,0.000000
19464,-356.026001,0.000000
19489,-311.376648,0.000000
19513,-314.064941,0.000000
19538,-274.792206,0.000000
19562,-212.961044,0.000000
19587,-181.753250,0.000000
19611,-164.454559,0.000000
19635,-163.753250,0.000000
19660,-114.311691,0.000000
19691,-61.363640,0.000000
19717,-68.493507,0.000000
19741,154.870132,0.000000
19766,-70.129875,0.000000
19790,-58.558445,0.000000
19815,-16.831169,0.000000
19839,23.259741,0.000000
19864,43.831169,0.000000
19888,75.155846,0.000000
19913,117.467537,0.000000
19937,128.454544,0.000000
19962,129.974030,0.000000
19986,112.909096,0.000000
20011,163.051956,0.000000
20035,153.000000,0.000000
20060,119.454552,0.000000
20084,88.012993,0.000000
20109,34.012989,0.000000
20133,2.688312,0.000000
20158,30.740261,0.000000
20184,8.883118,0.000000
20209,29.688313,0.000000
20233,57.740261,0.000000
20258,74.220779,0.000000
20282,69.194809,0.000000
20307,39.506496,0.000000
20331,38.454548,0.000000
20356,-12.740260,0.000000
20380,-10.519481,0.000000
20405,-14.025974,0.000000
20432,-22.324677,0.000000
20459,-26.649351,0.000000
20483,16.831169,0.000000
20508,-21.038961,0.000000
20532,-22.441559,0.000000
20557,-42.428574,0.000000
20581,-38.103897,0.000000
20606,-31.909092,0.000000
20630,-36.233768,0.000000
20655,-27.935066,0.000000
20681,-6.311688,0.000000
20706,11.337663,0.000000
20730,9.116883,0.000000
20755,23.142859,0.000000
20779,26.883118,0.000000
20804,49.909092,0.000000
20828,132.311691,0.000000
20853,235.519485,0.000000
20877,177.077927,0.000000
20901,203.025986,0.000000
20926,278.883118,0.000000
20950,319.324677,0.000000
20975,312.662354,0.000000
20999,230.727280,0.000000
21024,127.168839,0.000000
21048,121.324677,0.000000
21073,157.090912,0.000000
21097,191.220779,0.000000
21122,226.051956,0.000000
21146,267.545471,0.000000
21175,260.064941,0.000000
21202,235.987015,0.000000
21227,222.428574,0.000000
21251,204.662338,0.000000
21276,163.636368,0.000000
21300,158.025986,0.000000
21325,137.220779,0.000000
21349,137.922089,0.000000
21374,135.350662,0.000000
21399,93.155846,0.000000
21423,77.493507,0.000000
21448,108.350655,0.000000
21472,127.987015,0.000000
21496,151.948059,0.000000
21521,226.402603,0.000000
21545,300.974030,0.000000
21570,292.675323,0.000000
21594,284.610413,0.000000
21619,374.610413,0.000000
21643,435.857147,0.000000
21670,415.753265,0.000000
21694,351.584442,0.000000
21719,299.688324,0.000000
21743,347.142883,0.000000
21768,314.649353,0.000000
21793,347.376648,0.000000
21817,285.311707,0.000000
21841,449.064941,0.000000
21866,658.052002,0.000000
21890,603.467529,0.000000
21915,576.701294,0.000000
21944,314.883118,0.000000
21969,197.532471,0.000000
21994,156.623383,0.000000
22018,117.701302,0.000000
22043,104.259743,0.000000
22067,93.155846,0.000000
22092,95.376625,0.000000
22116,79.363640,0.000000
22141,115.597404,0.000000
22167,127.402603,0.000000
22192,128.922089,0.000000
22216,100.168839,0.000000
22240,119.688316,0.000000
22265,217.987015,0.000000
22289,349.246765,0.000000
22313,369.584442,0.000000
22338,332.415588,0.000000
22362,309.740265,0.000000
22386,269.766235,0.000000
22411,160.363647,0.000000
22435,68.025978,0.000000
22459,30.974028,0.000000
22483,78.779221,0.000000
22508,190.285721,0.000000
22532,324.116882,0.000000
22556,387.350677,0.000000
22581,357.545471,0.000000
22605,334.402618,0.000000
22631,221.727280,0.000000
22656,110.688316,0.000000
22682,42.896107,0.000000
22709,71.181824,0.000000
22734,210.857147,0.000000
22758,255.740265,0.000000
22783,284.961060,0.000000
22807,250.480530,0.000000
22831,185.493515,0.000000
22856,146.103897,0.000000
22880,163.636368,0.000000
22904,137.337662,0.000000
22929,59.259743,0.000000
22953,45.233768,0.000000
22977,10.987014,0.000000
23002,-15.896105,0.000000
23026,-14.493507,0.000000
23050,6.311688,0.000000
23075,-3.038961,0.000000
23099,15.077923,0.000000
23125,0.818182,0.000000
23150,9.116883,0.000000
23174,1.402597,0.000000
23199,-13.909091,0.000000
23223,-22.090910,0.000000
23248,-41.142860,0.000000
23272,6.428572,0.000000
23297,-40.090912,0.000000
23321,-39.506496,0.000000
23346,-36.818184,0.000000
23370,-32.025974,0.000000
23394,-11.220779,0.000000
23419,-29.103897,0.000000
23448,-19.636364,0.000000
23473,-13.909091,0.000000
23497,-20.922079,0.000000
23522,-11.571429,0.000000
23546,-26.649351,0.000000
23571,-25.831169,0.000000
23595,-3.038961,0.000000
23622,-24.662338,0.000000
23646,-56.688313,0.000000
23671,-18.818182,0.000000
23695,-16.129871,0.000000
23720,-5.142858,0.000000
23744,-15.545455,0.000000
23769,-25.012987,0.000000
23793,-22.324677,0.000000
23818,-14.961040,0.000000
23842,-3.740260,0.000000
23867,-6.545455,0.000000
23891,-37.870132,0.000000
23915,-16.480520,0.000000
23940,-49.324677,0.000000
23964,-19.870131,0.000000
23989,-29.103897,0.000000
24013,-38.688313,0.000000
24038,-41.493507,0.000000
24062,-42.077923,0.000000
24087,-6.779221,0.000000
24113,-13.792209,0.000000
24138,-26.766235,0.000000
24162,-38.571430,0.000000
24191,-6.077922,0.000000
24217,-12.389611,0.000000
24241,-25.012987,0.000000
24265,-1.753247,0.000000
24290,-31.792210,0.000000
24314,-28.285715,0.000000
24339,-49.558445,0.000000
24363,-35.064938,0.000000
24388,-23.142859,0.000000
24412,-33.428574,0.000000
24436,-22.909092,0.000000
24461,-21.740261,0.000000
24485,-28.987015,0.000000
24510,-38.103897,0.000000
24534,-25.597404,0.000000
24559,-17.181818,0.000000
24583,-26.415585,0.000000
24610,215.415588,0.000000
24635,-17.883118,0.000000
24659,-12.974027,0.000000
24684,-34.714287,0.000000
24708,-10.168832,0.000000
24732,-33.545456,0.000000
24757,5.493507,0.000000
24781,-14.259741,0.000000
24806,-8.064936,0.000000
24830,-17.298702,0.000000
24855,-35.883118,0.000000
24879,-8.298701,0.000000
24904,-30.740261,0.000000
24931,-28.519482,0.000000
24958,-42.428574,0.000000
24982,-17.766235,0.000000
25007,-18.701300,0.000000
25031,-25.012987,0.000000
25056,-24.662338,0.000000
25080,-20.454546,0.000000
25107,-29.805197,0.000000
25131,-43.948055,0.000000
25156,-19.753248,0.000000
25180,-40.792210,0.000000
25205,-12.857143,0.000000
25229,15.077923,0.000000
25254,-30.857143,0.000000
25278,-30.857143,0.000000
25303,-44.064938,0.000000
25327,-33.662338,0.000000
25352,-23.727274,0.000000
25376,-39.506496,0.000000
25400,-30.857143,0.000000
25425,-36.116886,0.000000
25449,-28.402599,0.000000
25474,-45.818184,0.000000
25498,-26.649351,0.000000
25523,-23.025974,0.000000
25547,-29.103897,0.000000
25572,-8.181819,0.000000
25598,-32.727276,0.000000
25623,-17.415585,0.000000
25647,-32.259743,0.000000
25674,4.324676,0.000000
25701,-41.493507,0.000000
25726,-22.090910,0.000000
25750,-11.337663,0.000000
25774,-31.324677,0.000000
25799,-39.857143,0.000000
25823,-15.077923,0.000000
25848,-12.038961,0.000000
25872,-35.064938,0.000000
25897,-44.181820,0.000000
25921,-23.727274,0.000000
25946,-44.883118,0.000000
25970,-32.610390,0.000000
25995,-30.038961,0.000000
26019,-27.935066,0.000000
26044,-7.948052,0.000000
26070,-38.805195,0.000000
26095,-9.467533,0.000000
26119,-18.935066,0.000000
26143,-39.155846,0.000000
26168,-38.805195,0.000000
26192,-34.597404,0.000000
26216,-32.493507,0.000000
26241,-22.792210,0.000000
26265,-34.831169,0.000000
26289,-34.246754,0.000000
26313,-58.441559,0.000000
26338,-56.220783,0.000000
26362,-13.090910,0.000000
26387,-21.155846,0.000000
26411,-39.155846,0.000000
26440,-43.129871,0.000000
26465,-13.441559,0.000000
26489,-37.987015,0.000000
26514,-27.935066,0.000000
26538,-43.129871,0.000000
26564,-40.675327,0.000000
26589,-9.935065,0.000000
26613,3.740260,0.000000
26637,-29.571430,0.000000
26662,-45.701302,0.000000
26686,-28.987015,0.000000
26710,-26.883118,0.000000
26735,-37.870132,0.000000
26759,-21.272728,0.000000
26783,-12.857143,0.000000
26807,-34.363636,0.000000
26832,-46.987015,0.000000
26856,-5.025974,0.000000
26880,-48.974030,0.000000
26905,-28.987015,0.000000
26929,-38.805195,0.000000
26953,-24.896105,0.000000
26978,-26.064936,0.000000
27002,-32.142857,0.000000
27026,-33.896107,0.000000
27053,-47.688313,0.000000
27077,-23.844156,0.000000
27102,-11.805195,0.000000
27126,-29.922079,0.000000
27150,-38.220779,0.000000
27177,-43.831169,0.000000
27204,-22.324677,0.000000
27229,-20.688313,0.000000
27254,-40.909092,0.000000
27278,-40.207794,0.000000
27303,-25.129871,0.000000
27327,-16.012987,0.000000
27352,-12.740260,0.000000
27376,-15.896105,0.000000
27401,-35.532471,0.000000
27425,-3.272727,0.000000
